name,description,ingredients,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV)
italian sandwich  pasta salad,this is a fun salad that uses the same ingredients you would in an italian sandwich. water chestnuts give it a nice crunch!!,"['tri-color spiral pasta', 'dill pickles', 'ripe olives', 'green onion', 'chives', 'sweet pepper', 'water chestnut', 'tomatoes', 'ham', 'cheese', 'olive oil', 'cider vinegar', 'onion powder', 'garlic powder', 'salt and pepper', 'italian seasoning']",279.2,14,12,22,23,11,12
italian  fries,"ok, so this is not *really* italian, but it is still great with burgers! :)","['frozen french fries', 'oil', 'salt & freshly ground black pepper', 'parmesan cheese', 'oregano', 'basil', 'flat leaf parsley']",241,12,1,23,10,11,12
make it your way  shortcakes,"top with freshly sliced strawberries and whipped cream to create a classic summertime dessert. again, you can play around with different toppings a verytime you bake these cakes. wonderful !","['flour', 'salt', 'baking powder', 'sugar', 'butter', 'egg', 'milk']",175.2,11,15,8,7,21,7
mennonite  corn fritters,"ok - my heritage has been revealed. :) these are simply wonderful. a favorite among our community, they're sure to bring a smile to your face. enjoy!","['fresh corn', 'eggs', 'flour', 'salt', 'pepper', 'baking powder', 'cream', 'fat']",67.1,7,2,7,3,10,1
more  more    apple pear jigglers,"it's a fun finger food for infants and toddlers that packs a little calcium and vitamin punch. try vegetarian cream cheese and soy yogurt for the lactose intolerant child or children not yet introduced to milk products. cook time is approximate chill time. servings are dependent on size of squares or shapes cut, but we cut the pan into 5 rows and 5 columns, yielding 25 squares.","['unflavored gelatin', 'milk', 'cream cheese', 'yogurt', 'apple', 'pear']",22.9,1,5,0,1,3,0
pour over anything  mushroom gravy,the name says it all...absolute must for all the mushroom lovers out there...smooth as silk gravy!!,"['onion', 'mushroom pieces', 'sodium-free vegetable broth', 'tomato puree', 'cornstarch', 'white wine', 'black pepper', 'tabasco sauce']",33.1,0,11,0,2,0,2
put down your fork   tuna and bean salad,"the story behind this comes from a simple recipe i had found, then made changes to make our own. my husband loved it so much the first time i made it i literally had to say to him ","['light olive oil', 'red wine vinegar', 'garlic', 'salt', 'fresh basil', 'black pepper', 'white kidney beans', 'albacore tuna in water', 'scallions', 'red sweet bell peppers', 'bibb lettuce']",227.2,14,8,29,40,7,4
smoked  salmon  cracker spread,"from the land of lakes cookbook via a friend who knows how i like to play. great as an appetizer spread, rolled in a tortilla, or in sandwiches. lots of possibilities for innovation here! cook time is chilling time.","['cream cheese', 'salmon', 'salt', 'lemon juice', 'onions', 'liquid smoke']",132.4,14,0,8,21,26,0
steamed  chicken cutlets in packages,"this creates a great aroma when the packages are first opened at the table--the packages hold the flavors in the chicken. i'm a huge chicken fan, and this is a very simple but tasty way to serve it.","['boneless skinless chicken breast', 'tomatoes', 'dried basil', 'olive oil', 'lime juice', 'salt and pepper']",190.5,12,3,3,53,6,0
tide me over   indian chaat  simple veggie salad,this version of the famous indian chaat (pronounce with the emphasis on the ,"['cucumber', 'potato', 'chopped tomato', 'plain yogurt', 'chat masala', 'paprika', 'salt']",73.1,1,15,0,5,3,4
zupa ze swiezych grzybow  polish mushroom soup,posted in response to a request. from my grandmother's recipe files. it's rich and delicious.,"['wild mushrooms', 'onions', 'butter', 'lemon, juice of', 'water', 'beef broth', 'sour cream', 'flour', 'salt and pepper', 'fresh dill']",176.6,19,11,26,12,37,3
rter med flsk   pea soup with pork,"a hearty and comforting soup from the minnesota scandinavian chapter of the united states regional cookbook, culinary arts institute of chicago, 1947.  overnight soaking not included in preparation time.","['dried yellow peas', 'water', 'salt', 'pork', 'ginger']",160.4,11,0,34,44,12,0
rtsoppa  swedish yellow pea soup,"according to the site where i found this recipe, this soup is traditionally served on thursdays and is usually followed by crepe-like pancakes and whipped cream and preserves for dessert. a teaspoon of grainy brown mustard on top of each serving helps to enhance the flavors.","['dried yellow peas', 'water', 'onions', 'clove', 'carrot', 'ham bone', 'dried thyme', 'ground ginger', 'salt', 'pepper', 'brown mustard']",33.2,0,12,25,1,0,2
almost grilled  cheese sandwich,"good, simple sandwich.","['white bread', 'processed cheese', 'butter']",195.3,9,14,26,15,16,8
bbq spray recipe    it really works,"using this marinade/spray will insure that your grilled meats are tender and tasty every time. try it on beef or pork ribs, beef brisket, pork butt or chicken. you'll love the results!","['red wine vinegar', 'lemon juice', 'water']",47.2,0,2,0,0,0,0
berry french toast  oatmeal,the first time i made oatmeal this way i thought it tasted like french toast topped with berries...thus the name! :) use whichever kind of berries you like...my personal favorite is cherries.,"['old fashioned oats', 'water', 'berries', 'ground flax seeds', 'sugar-free syrup', ""i can't believe it's not butter spread""]",190.9,8,2,0,13,3,9
country fried   pig fingers,"you see chicken fingers and cow (steak :)) fingers, so i thought why not pig (pork) fingers?  i changed my fried pork chop recipe and came up with this.  feel free to sprinkle more pepper and seasoning salt before frying.  this is really easier than it looks. if you want to use these as an appetizer, cut the 12 pieces in half to make 24.  posted september 17th, 2005.","['boneless pork chops', 'egg', 'milk', 'ground black pepper', 'seasoning salt', 'self-rising flour', 'cajun seasoning', 'canola oil', 'flour', 'salt and pepper']",196.4,15,0,6,31,13,3
creamy   vegan potato leek soup,"adapted from alex jamieson's great american detox diet.  serve with crusty bread and salad for a hearty, satisfying meal.","['olive oil', 'leeks', 'garlic cloves', 'russet potatoes', 'vegetable broth', 'white beans', 'fresh rosemary', 'salt and pepper']",183,3,10,0,13,1,11
creamy  chicken curry,i found this recipe in the new slimming world curry collection cookery leaflet but adapted it to kosher cooking using a soya yogurt.  the family lapped it up and you can prepare it before work and leave it in the fridge then add the ingredients for a quick and tasty supper.  serve with rice or jacket potatoes.,"['boneless skinless chicken breasts', 'garlic cloves', 'soy yogurt', 'turmeric', 'onions', 'chicken stock', 'cardamom pods', 'cinnamon stick', 'black peppercorns', 'cloves', 'coriander seed', 'fresh ginger', 'ground cumin', 'chili powder', 'salt & freshly ground black pepper', 'fresh coriander']",198.2,4,15,8,60,3,3
dipstir  crock pot dip,"this dip can also be made without hot sausage.  if you are serving to kids, use regular sausage.","['ground beef', 'sausage', 'velveeta cheese', 'taco chips']",157.7,19,6,19,17,28,0
exotic fruits  barbecue marinade,this marinade gives your barbecue a juicy exotic touch!,"['peanut oil', 'fruit vinegar', 'yoghurt', 'coriander seed', 'turmeric', 'star anise', 'lemongrass', 'kaffir lime leaves', 'cloves', 'cardamom pods', 'gingerroot']",104.8,15,4,0,2,10,1
fried  cauliflower,for the diet conscious this dish has 136 calories per serving,"['egg', 'plain breadcrumbs', 'cauliflower florets', 'vegetable oil', 'salt', 'pepper', 'parsley sprig']",161.1,15,12,5,12,9,4
from the field  green beans  fresh herbs and walnuts,"for a great cooking class i attended in morton, illinois.","['kosher salt', 'ground black pepper', 'fresh green beans', 'butter', 'olive oil', 'onions', 'mixed herbs', 'walnuts']",154,15,14,8,9,8,4
healthy  pumpkin pie,"i made up this recipe and whipped it up the night before thanksgiving, it was great! it's about as healthy as a pie can possibly be! only problem was that my crust was soggy, but the packaging gave a suggestion to that, which i have included to keep yours from going soggy. plus it's delicious, low-fat and sugar-free.  what more could you ask for in a pie?!","['pumpkin', 'skim milk', 'egg whites', 'reduced fat graham cracker crust', 'splenda sugar substitute', 'pumpkin pie spice']",36.3,0,3,2,7,0,1
homebakes   knock off beef stew and biscuits,i love figuring out what's in the packaged foods that i like. this should be easy enough for even the most novice cook.,"['beef stew', 'biscuits']",191.9,14,6,17,9,13,7
hot tamale  burgers,spicy burgers are vegetarian.,"['short-grain brown rice', 'olive oil', 'onion', 'red bell pepper', 'corn kernel', 'chipotle chile in adobo', 'garlic cloves', 'ground cumin', 'yellow cornmeal', 'cilantro', 'fresh lime juice', 'lime zest']",165.3,5,4,0,7,2,10
jamaican me hungry  chicken bake,"as this bakes your house will be filled with the most delicious aroma! don't let the long list of ingredients scare you, this dish is worth it :)
created for rsc 2006.","['boneless skinless chicken breasts', 'onion flakes', 'thyme', 'allspice', 'pepper', 'chili powder', 'cayenne', 'ginger', 'nutmeg', 'sage', 'brown sugar', 'chives', 'clove', 'cinnamon', 'olive oil', 'garlic clove', 'onion', 'red peppers', 'habanero pepper', 'rum', 'crushed tomatoes', 'lime juice', 'jamaican jerk spice']",226.6,15,15,6,51,8,2
jeera on cubes  barbecue marinade,if you love jeera (cumin) you will love this one. a really distinct marinade!,"['sesame oil', 'yoghurt', 'fruit vinegar', 'hoisin sauce', 'coriander seed', 'cumin', 'garlic cloves', 'fish sauce', 'red chile']",142.3,16,19,27,4,9,3
kicked up  oven fried chicken,"i make mine on one cookie rack placed on a baking sheet but i'm sure that the chicken could still be great placed directly on a foil-lined baking sheet, although i don't think it would be as crispy. plan ahead the chicken needs to soak in the buttermilk for a minimum of 4 hours or overnight. if you like a lot of heat then use 2 tablespoons of hot pepper sauce, or you can omit the hot pepper sauce completely, but i suggest adding it in, it really brings out the kick in this chicken---- you will *love* this recipe, i know my family does! :)","['buttermilk', 'oil', 'hot pepper sauce', 'dijon mustard', 'fresh garlic', 'seasoning salt', 'black pepper', 'onions', 'chicken pieces', 'dry breadcrumbs', 'parmesan cheese', 'all-purpose flour', 'dried thyme', 'paprika', 'cayenne pepper', 'garlic powder', 'butter']",215,17,14,15,13,22,7
lite  cretons,"as a native nyer relocated to french quebec, the discovery of this morning morsel was very appealing though daunting because of the calories slathered on by the pork. this recipe is a lighter version of this ""traditional quebecquois"" breakfast meal and i think more tasty, quick and easy to make. served on toast, this savory pate is a meal in itself without the extra pounds.","['ground veal', 'cream of mushroom soup', 'dijon mustard', 'dried onion flakes', 'salt', 'garlic powder', 'black pepper', 'ground cinnamon', 'ground cloves', 'dried parsley flakes']",31.2,2,1,6,5,2,0
loaded   deviled eggs,"my icelandic hubby loves deviled eggs ... especially this version. leftovers are required as he likes the bacon/egg flavors with his breakfast cereal & coffee. i went through a lot of devilled egg recipes posted here to be sure it wasn't a duplicate & got some new ideas to try for him, but i'm sure this will stay his favorite. as the ingredients & name imply, the recipe takes the ""loaded baked potato"" approach to devilled eggs.","['eggs', 'bacon', 'fresh chives', 'white vinegar', 'mild cheddar cheese', 'sour cream', 'paprika']",104,12,1,4,14,14,0
margarita  dip for fresh  or grilled fruit,this cool and creamy dip is a refreshing treat for a hot summer day. serve it with cut up fresh or grilled fruit. from kraft kitchens.,"['cream cheese', 'frozen limeade concentrate', 'orange juice', 'cool whip topping']",84.3,11,15,2,2,20,1
near east  rice pilaf  low fat,"i love those boxed rice pilaf, but the price is killer. why buy when making this at home is so much easier and so inexpensive? this recipe will use only a little oil, and more seasonings to make this very tasty. a quick and beautiful dish that's sure to impress.","['canola oil', 'orzo pasta', 'long-grain rice', 'water', 'chicken soup powder', 'garlic powder', 'black pepper', 'turmeric']",236.9,3,1,0,10,1,15
not your average  ham   bean soup,"at one time i was making ""cowboy caviar"" at least once a week, but have since tapered off to maybe once every six months. having an excess of canned beans (all kinds) in the cupboard i decided to make some bean soup. i got the ham bone in the pot and started emptying the cupboard.  this is the result, tho measurements aren't exact, they're close.  my dh, ds and our mexican neighbor think i should ""patent"" this!  it is probably too spicy hot for little ones.","['ham bone', 'ham', 'onion', 'carrots', 'celery ribs', 'ham soup base', 'water', 'great northern beans', 'navy beans', 'black-eyed peas', 'pinto beans', 'beans', 'tomatoes and green chilies', 'salt', 'pepper', 'garlic']",286.8,3,8,36,39,3,16
pass me another   hot clam dip,this recipe is from an appetizer book that i inherited from my mother. it was published in 1952 and i have fond memories of this dip as a child.,"['sharp cheddar cheese', 'green onions', 'green bell peppers', 'paprika', 'worcestershire sauce', 'tabasco sauce', 'minced clams']",119.9,12,1,7,19,25,0
posh   pork roast   crockpot,"befrore getting on with the description of this recipe, i want to thank molly53 chef#64642 for the name of this recipe.i made this recipe using country style-pork ribs (boneless),but i'm pretty sure it could be made with a boneless pork roast or even a pork loin of the same size with equal results.if you are using the roast or pork loin,cut into 2 inch sized pieces.also, if you think there is  too much salt in the onion soup mix just use half.the recipe will serve 4 with leftovers or 6 without any.this recipe was made for a 3 quart crockpot. submited to food.com ( a.k.a. zaar ) on march 24th.,2011","['boneless country-style ribs', 'all-purpose flour', 'seasoning salt', 'ground black pepper', 'bacon grease', ""campbell's golden mushroom soup"", 'soup mix', 'oregano']",193.4,12,0,0,10,14,8
quick biscuit bread,this is a wonderful quick bread to make as an acompaniment to most any dish. it is very versatile and delicious 1 :-),"['refrigerated biscuits', 'olive oil', 'mozzarella cheese', 'garlic salt', 'italian seasoning']",124,10,8,13,6,9,4
quick buns,these buns are light and wonderful.  in just over 2 hrs from start to finish.  this recipe is from the canadian mennonite cookbook.,"['sugar', 'water', 'active dry yeast', 'milk', 'salt', 'butter', 'flour']",110.6,5,1,3,5,9,5
russian  dressing  ww,i found this in the weight watchers complete cookbook. i thought it looked good and i plan on trying it soon.,"['orange juice', 'reduced-calorie mayonnaise', 'green bell peppers', 'red bell peppers', 'tomato paste', 'plain nonfat yogurt', 'horseradish', 'onion', 'prepared mustard', 'chili powder', 'fresh ground black pepper']",56.5,5,14,7,2,2,1
skordy  new potatoes w rosemary lemon   olive oi,"i took this recipe from a vegan tastes of greece for a  recipe called skordalia which seemed like a dip.  i wanted this flavour without dip, so i changed it a bit;  hence skordy.  i listened to penulum while making greek treats which was rather funky do try!","['new potatoes', 'lemon, juice of', 'lemon, zest of', 'rosemary', 'olive oil', 'garlic cloves']",209.7,10,7,0,8,4,11
stove top   stuffing,"my version of the box stuff, but so delicious!","['onion', 'celery seed', 'butter', 'parsley', 'pepper', 'salt', 'dried sage', 'dried thyme', 'chicken broth', 'breadcrumbs']",235.4,18,9,27,11,32,8
tastes like   v 8 juice,"one of the first questions i asked on this site was for homemade v-8 juice. have been constantly looking until the other day at the dentist office when the assistant gave me her mother's recipe. wow!, so simple and so good.07/19/08: update!  i made a large pitcher-full today and added about 11/2 tbsp of worcestershire sauce for an added kick. the guys really liked it!  me?....still like the original best. 09/16/08: another update:  i have now had two different members point out to me that the former name of this name of this recipe, homemade v-8 juice, is a poor choice as it is not homemade.......and i agree, thus the new name.","['plain tomato juice', 'old bay seasoning']",23.8,0,19,15,2,0,1
white  sangria,"another sangria, but from the calabash bar in lagos, nigeria.  taken in a book.  (i don't know how many servings it is.  maybe 2)","['dry white wine', 'lemon-flavored vodka', 'peach schnapps', 'peach puree', 'apple', 'lime', 'lemon', 'peach', 'lemon juice', 'lime juice', 'lemonade']",158,0,6,0,0,0,1
007  martini,based on a recipe from ray foley's the ultimate little martini book containing over 1000 martini recipes.,"['dry vermouth', 'vodka', 'gin', 'lillet blanc']",146.5,0,0,0,0,0,0
beefy  seitan log,"this is based on the ""seitan log"" and its variations posted by vegsocialworker.  i realized that portabella and shiitake mushrooms are sometimes described as ""beefy"", so i decided to make a seitan with mushroom stock instead of veggie stock.","['vital wheat gluten', 'nutritional yeast', 'ground cumin', 'onion powder', 'garlic powder', 'mushroom stock', 'soy sauce', 'vegetarian worcestershire sauce']",49.6,1,0,16,11,0,2
better than bouillon  gravy,"i found this recipe on youtube......for times when you don't have meat drippings, this makes a nice, smooth gravy without all the ""junk"" added to jar gravy or gravy mixes.  (i  like to make the beef gravy, then heat meatballs in it, and add a little sour cream for a nice ""comfort food"" to serve over noodles.)

""better than bouillon"" can be found in your grocery near the soup bases or the chicken or beef broth.","['water', 'beef base', 'cornstarch', 'pepper']",41.9,0,0,2,0,0,3
better  cake mix,to make a boxed cake mix even better add these 3 ingredients....it real does make a superior cake!,"['butter', 'flour', 'baking powder']",53.1,5,0,2,1,12,1
buffalo  stuffed eggs,"i'm already on record here at rz that my hubby & i love devilled eggs. he has his favorite version, but these might become mine. haven't made them yet, but they just sounded so good that i couldn't wait to share ... & preserve the recipe for myself. recipe source: california egg commission & i made only 1 sml chg ... subbed for the seasoning according to my preference.
*** note: ingredient amts for mayo & blue cheese have been revised. ***","['eggs', 'blue cheese', 'mayonnaise', 'parsley', 'tabasco sauce', 'lemon-pepper seasoning', 'celery ribs']",120.8,13,3,7,14,12,0
cheese  sauce  dairy free,"this sauce is good over veggies or in pasta....my favorite is over a baked potato.
you can buy nutritional yeast at most health food stores. full of vit. b and protein!","['rice milk', 'nutritional yeast flakes', 'cornstarch', 'dry mustard']",252.5,6,0,1,39,2,13
cheesecake factory  crab cakes,be careful not to stir the crab too much into the other ingredients. best to fold the mixture gently with a spatula to combine everything. you want the big chunks of tasty crab to stay together as big chunks of tasty crab. freshly cooked blue crab is the best choice for this recipe; however a good quality canned crab is an acceptable substitute.,"['lump crabmeat', 'plain breadcrumbs', 'mayonnaise', 'green onions', 'red bell peppers', 'egg', 'fresh parsley', 'old bay seasoning', 'prepared yellow mustard', 'panko breadcrumbs', 'vegetable oil']",99.4,4,4,10,20,2,2
comfort able kamikaze,good for those un"comfort"able aches and pains!,"['southern comfort', 'triple sec', 'lime juice', 'ice cubes']",109.6,0,1,1,0,0,0
company  green beans,"my grandmother used to fix this when company was coming over, hence the name.  this is a very forgiving recipe where amounts of ingredients can be varied to suit different tastes (want less onion? want more bacon?it's all good).  also, it can be doubled or tripled without any harm.","['bacon', 'onion', 'green beans', 'whole tomatoes']",135.2,12,19,6,9,13,4
company s coming  rice,"it just doesn't get much easier than this fool-proof rice sidedish.  it won't look like much when it goes in the oven, but trust me, it comes out perfect every time.  i've been making it for holiday dinners for years.  it takes 5 minutes or less to throw together and can go in the oven with those other last minute dishes or prepare it ahead and reheat in the microwave at serving time if oven space is a problem.  note:  the original recipe called for 1/2 cup butter but i found that to be excessive.","['rice', 'beef consomme soup', 'french onion soup', 'sliced water chestnuts', 'butter']",160.2,9,4,19,7,18,7
crabby  bread,"this is so cute!!! place ""crab"" onto lettuce-lined platter with mound of your favorite crab dip, surround with shells and crackers if desired! great for parties, picnics and bbq's!","['rhodes frozen rolls', 'toothpick', 'butter', 'egg', 'paprika', 'pimento stuffed olive', 'crab dip', 'cracker', 'fresh dill sprig']",43.8,6,0,1,3,11,0
crabby  cracker spread,"i took this spread to a recent party, and it got rave reviews. everyone loved it, and it's pretty simple to make. i recommend making it a few hours before serving so the flavors get to blend. i served with additional cocktail sauce on the side because as it gets eaten, the top layer of sauce tends to disappear.","['cream cheese', 'onions', 'lemon juice', 'worcestershire sauce', 'mayonnaise', 'garlic salt', 'black pepper', 'imitation crabmeat', 'seafood cocktail sauce']",130.7,16,10,12,7,30,1
cream of whatever  soup,"a healthy, budget-friendly substitute for canned cream soup.  takes just minutes to whip up--perfect to use in casseroles or as a base for homemade soups, stews, etc.  it's so versatile; use as is, or add celery seed for cream of celery, a jar of mushrooms for cream of mushroom, or chicken bouillon for cream of chicken. enjoy!","['butter', 'flour', 'garlic clove', 'milk', 'onion powder', 'salt', 'pepper', 'dried thyme', 'dried parsley']",107.4,12,0,2,5,25,2
cream  of chicken soup,"from ""dining in""; i've always wanted to find a kosher ""cream of chicken soup"" recipe, and now i have one!  i had to play around a bit with the amount of liquids, especially when cooking the rice because i used an immersion blender... it might work okay as listed with a food processor.","['onion', 'oil', 'water', 'raw rice', 'chicken stock', 'salt and pepper', 'frozen peas', 'cooked chicken']",171.1,7,15,10,17,5,7
creamy  broccoli soup,"it's made with milk to keep it lower in fat, but it is a very hearty yummy soup.  goes great with a nice crusty roll, or thick slice of french bread!!","['minute rice', 'carrots', 'onion', 'celery', 'garlic clove', 'olive oil', 'chicken broth', 'water', 'broccoli', 'skim milk', 'parmesan cheese', 'salt and pepper']",131.1,7,9,13,14,6,4
creamy  fiddlehead soup,"this is a tasty springtime soup that is so delicious, we love fiddleheads here , and it's nice to have a few different recipes to use them.  the soup is very good.","['onion', 'butter', 'chicken stock', 'potatoes', 'fiddleheads', 'bay leaf', 'salt and pepper', 'milk', 'yogurt', 'lemon rind']",166.8,12,14,12,14,21,5
creamy  mushroom soup,"creamless but creamy, and easily adapted to vegan.","['baby portabella mushrooms', 'onion', 'white beans', 'mushroom broth', 'reduced fat margarine', 'white pepper', 'salt', 'bay leaf', 'garlic cloves', 'dried thyme']",99.3,1,8,1,12,0,6
dirty  broccoli,from the recipe book the food you crave,"['broccoli', 'water', 'olive oil', 'garlic cloves', 'plain breadcrumbs', 'dried oregano', 'salt', 'fresh ground black pepper']",137.1,11,11,10,10,5,4
elmer s  summertime sweet onion salsa,"picked up this recipe at a local ""elmer's"" restaurant. it sounds so good and easy to prepare. they were giving out the recipe free so i guess it's ok to post here. i haven't tried it yet, but the card said: it takes only minutes to produce the best-tasting summer salsa ready for dipping, topping, and summertime fun. cooking time includes standing time.","['plum tomatoes', 'jalapeno', 'green onions', 'onion', 'fresh cilantro leaves', 'garlic', 'fresh lemon juice', 'fresh lime juice', 'sugar', 'ground coriander', 'ground cumin', 'sea salt']",23.3,0,11,4,1,0,1
famous  garlic noodles,"a one in a million dish craved by thousands of attendees of the maui swap meet. it is still sought after it was discontinued when the swap meet moved to a new location.  popular toppings for this dish are grilled teri-chicken, teri-beef, shrimp curry or just with chopped green onions.","['yakisoba noodles', 'cooking oil', 'fresh garlic', 'garlic powder', 'chicken broth', 'soy sauce', 'fish sauce', 'oyster sauce']",41.3,4,2,19,2,2,0
fronch  toast,"vegan french toast. i haven't tried this, i'm just posting it for safe-keeping.","['whole wheat bread', 'soy coffee creamer', 'soymilk', 'cornstarch', 'chickpea flour', 'vegetable oil']",141.6,7,10,7,11,3,6
green eggs  kid friendly   high in iron,"my daughter and i are both anemic and were looking for easy and yummy ways to incorporate more iron into our diet. i'll admit they don't look really appetizing, but these eggs are light and fluffy and are great accompanied by dr. seuss' ""green eggs and ham.""  my daughter is 2 and can be picky, so i was ecstatic that she loved these eggs and asks for them almost daily. mustard greens are an amazing source of vitamins and nutrients!","['cream', 'water', 'parmesan cheese', 'sea salt', 'pepper', 'mustard greens', 'eggs', 'butter', 'olive oil flavored cooking spray']",139.2,15,3,5,19,20,0
grey cup  sourdough,"touchdown!
this recipe is from that's trump.
it is a greay appy that everyone will enjoy.  not just for the grey cup!!!!","['round sourdough loaf', 'cheddar cheese', 'sour cream', 'cream cheese', 'green onion', 'worcestershire sauce', 'corned beef', 'diced green chilies', 'pimientos']",124.6,17,1,7,8,35,0
grilled   salmon,"i use this delicious fat-free method of cooking salmon, chicken and pork chops at least 2-3 times a week, varying the meats and seasonings.","['salmon fillets', 'blackening seasoning']",178.1,9,0,4,57,5,0
hamburger  buns  zero carb,"these mock ""hamburger"" buns are amazingly bread-like in texture (and taste!) and are suitable for all phases of the dukan diet! once completely cool, seal them in a ziplock storage baggie or a tupperware over night. they will totally change their consistency, to something much more like bread - a softer texture that is nice and chewy. while warm they are crumbly and similar to cooked meringue - but don't let this fool you! since the sides that were facing the pan are perfectly flat, you use these to spread things on, or make sandwiches, or even as a burger bun! my favorite is spreading cream cheese on both sides (like a sandwich) and stuffing with a freshly poached egg...delish!","['eggs', 'low fat cottage cheese', 'cream of tartar', 'splenda sugar substitute']",52,4,3,2,9,5,0
hey nic  add the chicken   leek and potato soup,"this started out life as just leek and potato soup, one of a plethora of soups in my husband's box of cheffy tricks.  when i saw him about to just chuck the chicken frames into the bin after having made the stock i protested and told him to chip off the meat and put it back in the soup.  he was a bit dubious but has now changed the recipe to include chicken!","['chicken carcasses', 'salt', 'bay leaves', 'potatoes', 'leek', 'pepper']",198,0,9,29,10,0,14
hibachi  style salad dressing,"this is my attempt to replicate a salad dressing from a japanese restaurant i used to frequent many years ago. while this may not be authentically japanese, it sure is tasty! you can really pick up a lot of the individual flavors, and yet they all blend together nicely. this keeps well.","['rice vinegar', 'lemon juice', 'soy sauce', 'honey', 'ginger juice', 'sesame oil', 'mayonnaise']",97.2,12,8,16,1,6,1
i don t have any tahini  hummus,from the miserly meals book by jonni mccoy.,"['chickpeas', 'garlic cloves', 'lemon juice', 'ground cumin', 'salt']",86.3,1,0,9,7,0,5
lite  tortillas,i like this recipe for tortillas because the olive oil is much lighter (reason for the name) than the usual fats used to make them. i got the this recipe from a woman at a shower (or something very close to it...lol).,"['unbleached flour', 'salt', 'baking powder', 'olive oil', 'water']",185.9,9,0,13,7,4,9
little kick  jalapeno burgers,"this recipe was originally submitted to taste of home's healthy cooking magazine by dawn dhooghe of concord, north carolina.  ""i lightened up one of my husband's favorite burgers, although the original was good, we actually like this better.""","['jalapeno peppers', 'fresh cilantro', 'light beer', 'hot pepper sauce', 'garlic cloves', 'pepper', 'salt', 'cayenne pepper', 'lean ground turkey', 'monterey jack pepper cheese', 'dinner rolls', 'salsa', 'fat free sour cream', 'lettuce']",265.9,18,13,19,44,23,5
